,FACTURA,FECHA,GUIA,RESIDUO,PESO RECOGIDO,UNIDADES,VALOR UNITARIO,DESCUENTO,IMPUESTO,TOTAL
1,202311657,22/12/2022,604349,LODOS DE PTAR,"13.790,00",KILOGRAMOS," 92,00"," 0,00"," 0,00"," 1.268.680,00"
2,202311657,22/12/2022,604350,LODOS DE PTAR,"13.070,00",KILOGRAMOS," 92,00"," 0,00"," 0,00"," 1.202.440,00"
3,202311657,28/12/2022,606654,LODOS DE PTAR,"12.510,00",KILOGRAMOS," 92,00"," 0,00"," 0,00"," 1.150.920,00"
4,202311657,28/12/2022,606655,LODOS DE PTAR,"13.470,00",KILOGRAMOS," 92,00"," 0,00"," 0,00"," 1.239.240,00"
1,202311718,20/01/2023,616033,RESIDUO DE DESTILADO DESOLVENTE PC4,"2.100,00",KILOGRAMOS," 894,00"," 0,00"," 0,00"," 1.877.400,00"
2,202311718,20/01/2023,616033,SALES INORGANICAS -CATALIZADOR,"3,00",KILOGRAMOS," 894,00"," 0,00"," 0,00"," 2.682,00"
3,202311718,20/01/202320/01/2023,616092616092,FRASCOS Y EMPAQUESCONTAMINADOS CONPRODUCTOS QUIMICOSRESIDUO DE FILTRACION DEEMULSIONES,"750,002.085,00",KILOGRAMOSKILOGRAMOS," 894,00 894,00",," 0,00 0,00"," 670.500,00 1.863.990,00"
4,202311718,20/01/2023,616092,RESIDUO IND. VARIOSCONTAMINADOS 331205,"1.872,00",KILOGRAMOS," 894,00"," 0,00"," 0,00"," 1.673.568,00"
5,202311718,20/01/2023,616035,CHATARRA ELECTRONICA,"100,00",KILOGRAMOS," 566,00"," 0,00"," 0,00"," 56.600,00"
1,202311728,23/01/2023,616229,AGUAS INDUSTRAILES -BARBOSA,"36.000,00",KILOGRAMOS," 894,00"," 0,00"," 0,00"," 32.184.000,00"
2,202311728,23/01/2023,616230,AGUAS INDUSTRAILES -BARBOSA,"15.290,00",KILOGRAMOS," 894,00"," 0,00"," 0,00"," 13.669.260,00"
3,202311728,24/01/2023,616231,AGUAS INDUSTRAILES -BARBOSA,"31.410,00",KILOGRAMOS," 894,00"," 0,00"," 0,00"," 28.080.540,00"
